DATE,VALUE
1940-01-01,132164569.0
1941-01-01,134080691.9
1942-01-01,135996814.8
1943-01-01,137912937.7
1944-01-01,139829060.6
1945-01-01,141745183.5
1946-01-01,143661306.4
1947-01-01,145577429.3
1948-01-01,147493552.2
1949-01-01,149409675.1
1950-01-01,151325798.0
1951-01-01,154125535.7
1952-01-01,156925273.4
1953-01-01,159725011.1
1954-01-01,162524748.8
1955-01-01,165324486.5
1956-01-01,168124224.2
1957-01-01,170923961.9
1958-01-01,173723699.6
1959-01-01,176523437.3
1960-01-01,179323175.0
1961-01-01,181712050.1
1962-01-01,184100925.2
1963-01-01,186489800.3
1964-01-01,188878675.4
1965-01-01,191267550.5
1966-01-01,193656425.6
1967-01-01,196045300.7
1968-01-01,198434175.8
1969-01-01,200823050.9
1970-01-01,203211926.0
1971-01-01,205545313.9
1972-01-01,207878701.8
1973-01-01,210212089.7
1974-01-01,212545477.6
1975-01-01,214878865.5
1976-01-01,217212253.4
1977-01-01,219545641.3
1978-01-01,221879029.2
1979-01-01,224212417.1
1980-01-01,226545805.0
1981-01-01,228762211.8
1982-01-01,230978618.6
1983-01-01,233195025.4
1984-01-01,235411432.2
1985-01-01,237627839.0
1986-01-01,239844245.8
1987-01-01,242060652.6
1988-01-01,244277059.4
1989-01-01,246493466.2
1990-01-01,248709873.0
1991-01-01,251981076.3
1992-01-01,255252279.6
1993-01-01,258523482.9
1994-01-01,261794686.2
1995-01-01,265065889.5
1996-01-01,268337092.8
1997-01-01,271608296.1
1998-01-01,274879499.4
1999-01-01,278150702.7
2000-01-01,281421906.0
2001-01-01,284154269.2
2002-01-01,286886632.4
2003-01-01,289618995.6
2004-01-01,292351358.8
2005-01-01,295083722.0
2006-01-01,297816085.2
2007-01-01,300548448.4
2008-01-01,303280811.6
2009-01-01,306013174.8
2010-01-01,308745538.0
2011-01-01,311015912.3
2012-01-01,313286286.6
2013-01-01,315556660.9
2014-01-01,317827035.2
2015-01-01,320097409.5
2016-01-01,322367783.8
2017-01-01,324638158.1
2018-01-01,326908532.4
2019-01-01,329178906.7
2020-01-01,331449281.0
2021-01-01,333232854.0
2022-01-01,335016427.0
2023-01-01,336800000.0
